target,result
dextrose-maltodextrin,maltodextrin
pineapple-juice,juice
turbinado-sugar,sugar
cooca-butter,butter
sol-per,per
oligofructose,oligofructose
suitanas,suitana
sanas,sana
nergy,nergy
kj,kj
kcal,kcal
g,g
kernel,kernel
strawberry-pieces,piece
pineapple-fibre,fibre
ccocoa-butter,butter
vanilla-seeds,seed
kerner,kerner
rice-meal,meal
bittersweet-chocolate,chocolate
crumbled-wafer,wafer
hazelnut-praline,praline
pomegranate-juice,juice
emulsiifier,emulsiifier
raspberry-puree,puree
coconut-flavouring,flavouring
chocolate-sugar,sugar
vanill,vanill
mango-puree,puree
cocoa-nulier,nulier
artificial-havors,havor
biscuit-pieces,piece
biscuit,biscuit
cocoa-chocolate,chocolate
ingredien-butter,butter
skim-hazelnuts,hazelnut
inc,inc
stratham,stratham
water-butter,butter
soya-allergy,allergy
water-sugar,sugar
red-apple,apple
lychee,lychee
amgnesium-stearate,stearate
lemon-powder,powder
dried-apple,apple
tangerine-juice,juice
green-apple,apple
dried-bluebery,bluebery
be-concentrate,concentrate
total-sugars,sugar
excl,excl
dist,dist
parsippany,parsippany
excl-dist,dist
ferero-usa,usa
pasipany,pasipany
acerola,acerola
gun-arabic,arabic
dried-banana,banana
magnesium,magnesium
rice-erving,erving
cts-hazelnuts,hazelnut
dv,dv
sheanut,sheanut
soy-wheat,wheat
lemon-oil,oil
traded,traded
also,also
safety,safety
london,london
upper-galwally,galwally
belfast,belfast
nicaragua,nicaragua
salted-pista,pista
mature-cheddar,cheddar
red-onion,onion
drie-butterrnilk,butterrnilk
balsamic-vinegar,vinegar
sugar-coating,coating
roast-flavor,flavor
tricalcuim-phosphate,phosphate
virginia-peanuts,peanut
spelt,spelt
khorasan-wheat,wheat
lemon-peel,peel
coriander,coriander
fennel,fennel
gum-blend,blend
locust-bean,bean
pineapple-filling,filling
raspberry-filling,filling
sprinkles,sprinkle
yellow-no,no
blue-no,no
vegetable-glycerin,glycerin
citric-canola,canola
carob-cream,cream
citrus-oil,oil
glucono-deltalactone,deltalactone
orange-filling,filling
methylhydroxypropylcellulose,methylhydroxypropylcellulose
vegetable-gums,gum
fruit-fillings,filling
cultured-dextrose,dextrose
key-lime,lime
natural-preservative,preservative
red-no,no
natural-culture,culture
modified,modified
graham-crumb,crumb
carageenan,carageenan
sallower-oil,oil
methylhydroxypropylcelluiose,methylhydroxypropylcelluiose
creaming-powder,powder
dutch-process,process
resinous-glaze,glaze
sorbitan-tristerate,tristerate
dairy-butter,butter
liquorice-extract,extract
liquorice,liquorice
aniseed-oil,oil
ferrous-sulfate,sulfate
k-carmine,carmine
watermelon-dextrose,dextrose
grape-dextrose,dextrose
limonene,limonene
cornstrach,cornstrach
shea-oil,oil
polyglucitol-syrup,syrup
careful,careful
small-objects,object
soy-nuts,nut
mfd,mfd
modif-cornstarch,cornstarch
less-of,of
acesulfame,acesulfame
potassium,potassium
parsnip,parsnip
wheat-protein,protein
sugar-water,water
carrageenan-gum,gum
palm-soybean,soybean
cultured,cultured
arabic,arabic
less-than,than
lactose-milkfat,milkfat
artificial,artificial
cincinnati,cincinnati
rboflavin,rboflavin
guanyalate,guanyalate
molasses-powder,powder
gum-aribic,aribic
yellow-corn,corn
ferric-orthophosphate,orthophosphate
mayonnaise,mayonnaise
alum,alum
celery-seed,seed
white-pepper,pepper
egg-yolk,yolk
pickle-relish,relish
prune,prune
agave-syrup,syrup
rice-maltodextrin,maltodextrin
annatto-color,color
mononitrate,mononitrate
graham-bits,bit
lac-resin,resin
habanero-chili,chili
lime-oil,oil
tapioca-maltodextrin,maltodextrin
maltodexdrine,maltodexdrine
pine-nuts,nut
corn-maltodextrin,maltodextrin
sunflower-butter,butter
pumpkin-seed,seed
bacterial-culture,culture
topping,topping
vegetable-uil,uil
cur-cottonseed,cottonseed
lime-juice,juice
lime,lime
cheddar-powder,powder
almondmilk,almondmilk
l,l
paracasei,paracasei
rhamnosus,rhamnosu
propionibacterium,propionibacterium
sunflowe,sunflowe
cheese-paste,paste
cheddar-seasoning,seasoning
blue-cheese,cheese
corn-cottonseed,cottonseed
ohio,ohio
corn-sunflower,sunflower
jalapeno-spice,spice
cane-sugart,sugart
chives,chive
sa-cinnamon,cinnamon
almond-milk,milk
live,live
ngredients,ngredient
nulin,nulin
pineapple-syrup,syrup
potato-lour,lour
sodium-sicarbonate,sicarbonate
corf-flour,flour
chestnut,chestnut
maple-sugar,sugar
worcestershire-sauce,sauce
smoke-flavouring,flavouring
tamarind,tamarind
roasted-almonds,almond
multigrain-flour,flour
millet-flour,flour
sodium-benzonate,benzonate
whey-spice,spice
cake,cake
natural-vanilla,vanilla
alginate,alginate
icing,icing
sorbitail-monostearate,monostearate
natural-leavening,leavening
annatto-t,t
malto-dextrin,dextrin
monosodium,monosodium
glaze-also,also
contains,contain
courgette,courgette
methyl-paraben,paraben
propyl-paraben,paraben
medjool-dates,date
spanish-peanuts,peanut
leavening-blend,blend
yogurt-coating,coating
yogurt-powder,powder
socum-bicarbonate,bicarbonate
cultured-whey,whey
folic-acidi,acidi
manuka-honey,honey
apo-carotenal,carotenal
blueberry-filling,filling
elderberry-juice,juice
quinoa-seeds,seed
blue-corn,corn
avocado,avocado
jalapeno-pepper,pepper
grapefruit-juice,juice
grapefruit,grapefruit
fruit-concentrate,concentrate
white-grape,grape
black-truffle,truffle
mushroom,mushroom
truffle,truffle
filtered-honey,honey
apple-pectin,pectin
morello-cherries,cherrie
redcurrant,redcurrant
fructooligosaccharide,fructooligosaccharide
prebiotics,prebiotic
elycerin,elycerin
oat-bran,bran
igredients,igredient
incinnati,incinnati
gmos,gmo
cupcake-mix,mix
frosting-mix,mix
cookie-mix,mix
icing-pen,pen
popping-candy,candy
reb-a,a
apple-sauce,sauce
breadsticks,breadstick
blend,blend
sulfite,sulfite
chocolate-filling,filling
chocolate-powder,powder
paprika-yeast,yeast
cinnamon-filling,filling
oregon-pears,pear
